"","Plate","Column","Family"
"1",1,1,"48"
"2",1,2,"49"
"3",1,3,"78"
"4",1,4,"39"
"5",1,5,"0"
"6",2,1,"84"
"7",2,2,"74"
"8",2,3,"26"
"9",2,4,"70"
"10",2,5,"90"
"11",3,1,"85"
"12",3,2,"48"
"13",3,3,"47"
"14",3,4,"72"
"15",3,5,"37"
"16",4,1,"21"
"17",4,2,"51"
"18",4,3,"47"
"19",4,4,"60"
"20",4,5,"74"
"21",5,1,"0"
"22",5,2,"16"
"23",5,3,"88"
"24",5,4,"50"
"25",5,5,"24"
"26",6,1,"48"
"27",6,2,"76"
"28",6,3,"74"
"29",6,4,"78"
"30",6,5,"34"
"31",7,1,"36"
"32",7,2,"38"
"33",7,3,"49"
"34",7,4,"70"
"35",7,5,"74"
"36",8,1,"32"
"37",8,2,"41"
"38",8,3,"7"
"39",8,4,"32"
"40",8,5,"88"
"41",9,1,"39"
"42",9,2,"76"
"43",9,3,"25"
"44",9,4,"31"
"45",9,5,"90"
"46",10,1,"37"
"47",10,2,"31"
"48",10,3,"83"
"49",10,4,"49"
"50",10,5,"71"
"51",11,1,"88"
"52",11,2,"42"
"53",11,3,"43"
"54",11,4,"54"
"55",11,5,"71"
"56",12,1,"70"
"57",12,2,"79"
"58",12,3,"47"
"59",12,4,"77"
"60",12,5,"76"
"61",13,1,"24"
"62",13,2,"24"
"63",13,3,"20"
"64",13,4,"88"
"65",13,5,"54"
"66",14,1,"5"
"67",14,2,"85"
"68",14,3,"79"
"69",14,4,"60"
"70",14,5,"82"
"71",15,1,"80"
"72",15,2,"47"
"73",15,3,"88"
"74",15,4,"78"
"75",15,5,"26"
"76",16,1,"90"
"77",16,2,"12"
"78",16,3,"38"
"79",16,4,"36"
"80",16,5,"42"
"81",17,1,"55"
"82",17,2,"41"
"83",17,3,"55"
"84",17,4,"15"
"85",17,5,"6"
"86",18,1,"42"
"87",18,2,"57"
"88",18,3,"38"
"89",18,4,"54"
"90",18,5,"36"
"91",19,1,"39"
"92",19,2,"32"
"93",19,3,"15"
"94",19,4,"15"
"95",19,5,"14"
"96",20,1,"71"
"97",20,2,"21"
"98",20,3,"84"
"99",20,4,"16"
"100",20,5,"19"
"101",21,1,"14"
"102",21,2,"24"
"103",21,3,"37"
"104",21,4,"54"
"105",21,5,"6"
"106",22,1,"80"
"107",22,2,"61"
"108",22,3,"37"
"109",22,4,"72"
"110",22,5,"36"
"111",23,1,"51"
"112",23,2,"76"
"113",23,3,"43"
"114",23,4,"77"
"115",23,5,"80"
"116",24,1,"7"
"117",24,2,"5"
"118",24,3,"19"
"119",24,4,"80"
"120",24,5,"24"
"121",25,1,"33"
"122",25,2,"60"
"123",25,3,"48"
"124",25,4,"7"
"125",25,5,"6"
