trace_id,family_id_group,ploidy,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
20250826 plate1 A02,hnry,diploid,corrected_fc,0,1.1454038233147783,1.1454038233147783,0,4,0,3.4131054727124353,1.339579802563428,2.0735256701490075,0.7339458675855794,1.5478926049654498,0.8972368290074993,0.8972368290074993,0.5,-0.012550881895642019,1.5,1.5,1.1454038233147783,1.1454038233147783,0,0,1,0.5757856714724969,rise_then_depress,5
20250826 plate1 A03,hnry,triploid,corrected_fc,0,1.1864370055327913,1.1864370055327913,0,4,0,3.340193399853759,1.1843350829454968,2.1558583169082626,0.9715232339627657,1.8203111162987269,0.7142790149893329,0.7142790149893329,0.5,0.09385325934708844,3.5,1.5,1.1864370055327913,1.1864370055327913,0,0,1,0.6033100650014034,monotonic_increase,5
20250826 plate1 A04,hnry,diploid,corrected_fc,0,1.4801656277190312,1.4801656277190312,0,4,0,4.132335836804137,1.371749845700427,2.760585991103711,1.388836145403284,2.012455842263378,0.7145172894041817,0.7145172894041817,0.5,0.04880550835545994,2.5,2.5,1.4801656277190312,1.4801656277190312,0,0,1,0.6366599390268372,monotonic_increase,5
20250826 plate1 A05,hnry,triploid,corrected_fc,0,0.8421620189702774,0.8421620189702774,0,4,0,2.67887955670597,1.0284371878458067,1.6504423688601633,0.6220051810143565,1.6048061936745266,0.626814821295046,0.626814821295046,0.5,0.01442302614601354,3.5,1.5,0.8421620189702774,0.8421620189702774,0,0,1,0.5762318357289249,monotonic_increase,5
20250826 plate1 A06,hnry,diploid,corrected_fc,0,0.9948613375915568,1.149713036097997,0,3,0,3.7212675643508195,1.565532636836905,2.1557349275139144,0.5902022906770095,1.3769977557730697,1.0569414142167664,1.0569414142167664,0.5,-0.1548516985064402,3.5,1.5,1.149713036097997,0.9948613375915568,0.1548516985064402,0.13468725990268868,0.8653127400973113,0.5634036958706667,rise_then_depress,5
20250826 plate1 A07,hnry,triploid,corrected_fc,0,0.912822546391776,0.9451877373148329,0,3,0,2.7676513358256534,1.0122873488741502,1.7553639869515032,0.743076638077353,1.7340570233380779,0.6585223724333675,0.6585223724333675,0.5,-0.0323651909230569,3.5,1.5,0.9451877373148329,0.912822546391776,0.0323651909230569,0.034242076621732946,0.965757923378267,0.59153825541873,rise_then_depress,5
20250826 plate1 A08,hnry,diploid,corrected_fc,0,0.7569599547718724,0.7569599547718724,0,4,0,2.3089708948993604,0.865745852027722,1.4432250428716387,0.5774791908439166,1.6670308491705315,0.5471382998663685,0.5471382998663685,0.5,0.010822441447523423,3.5,1.5,0.7569599547718724,0.7569599547718724,0,0,1,0.5814130707169618,monotonic_increase,5
20250826 plate1 B02,hnry,diploid,corrected_fc,0,0.9913555856291996,0.9913555856291996,0,4,0,2.6681449546500637,0.95779705431901,1.7103479003310536,0.7525508460120436,1.7857101278590843,0.6325060265378298,0.6325060265378298,0.5,0.018076029024530316,1.5,1.5,0.9913555856291996,0.9913555856291996,0,0,1,0.6095930520795068,monotonic_increase,5
20250826 plate1 B03,hnry,triploid,corrected_fc,0,1.295067664613207,1.295067664613207,0,4,0,3.7213000674421903,1.3943659087314813,2.326934158710709,0.9325682499792278,1.6688117115740646,0.9049218420424286,0.9049218420424286,0.5,0.07396629133567656,1.5,1.5,1.295067664613207,1.295067664613207,0,0,1,0.5871923101091098,monotonic_increase,5
20250826 plate1 B04,hnry,diploid,corrected_fc,0,1.245561127015806,1.245561127015806,0,4,0,3.303226405721835,1.0550837308140508,2.2481426749077844,1.1930589440937336,2.1307718138855463,0.5674846399553517,0.5674846399553517,0.5,0.10779810647462384,3.5,2.5,1.245561127015806,1.245561127015806,0,0,1,0.6482248769292371,monotonic_increase,5
