trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate1 A02,0,63.53,51.52,21.19,0.333543,0.810955,46.195,30.337,3.358,6.94,NA,22.74,diploid,1,40.790000000000006,1.027386746956052,3.358,46.195,42.142857142857146
20250826 plate1 B02,0,57.63,49.87,24,0.41645,0.865348,45.927,33.622,3.382,9.12,NA,21.73,diploid,1,35.900000000000006,0.9753494711802366,3.382,45.927,50.71428571428571
20250826 plate1 C02,0,67.94,54.47,26.85,0.395202,0.801737,57.333,38.793,3.821,8.5,NA,21.98,diploid,1,45.959999999999994,1.1284920137569625,3.821,57.333,73.57142857142858
20250826 plate1 D02,0,66.19,54.62,27.71,0.418643,0.8252,62.225,43.191,3.802,7.97,NA,25.12,diploid,1,41.06999999999999,0.9688650525308334,3.802,62.225,57.14285714285714
20250826 plate1 E02,0,65.24,50.69,23.85,0.365573,0.776977,54.518,36.356,3.794,8.61,NA,23.2,diploid,1,42.03999999999999,1.0339204990805488,3.794,54.518,65
20250826 plate1 F02,0,64.89,54.28,26.87,0.414085,0.836493,56.371,38.715,3.256,5.87,NA,24.86,diploid,1,40.03,0.959433442550512,3.256,56.371,27.142857142857142
20250826 plate1 A03,1,48.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.02,triploid,0,NA,NA,0,0,NA
20250826 plate1 B03,0,75.62,60.59,33.48,0.4427400158688177,0.8012430573922242,96.694,68.323,4.821,8.829438511155754,NA,26.32,triploid,1,49.300000000000004,1.0553916920056705,4.821,96.694,62.745098039215684
20250826 plate1 C03,0,65.67,56.01,27.76,0.42271965890056346,0.8529008679762448,61.565,47.326,3.589,9.495048809607418,NA,23.69,triploid,1,41.980000000000004,1.0195891820321872,3.589,61.565,44.11764705882353
20250826 plate1 D03,0,61.82,51.14,29.23,0.4728243286962148,0.8272403752830799,56.574,43.432,3.365,8.263582407548324,NA,26.87,triploid,1,34.95,0.8332165140765704,3.365,56.574,22.54901960784314
20250826 plate1 E03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.98,triploid,NA,NA,NA,NA,NA,NA
20250826 plate1 F03,0,71.07,58.73,29.63,0.41691290277191506,0.8263683692134516,72.084,46.807,4.183,7.722435415595205,NA,23.07,triploid,1,47.99999999999999,1.1251322346531414,4.183,72.084,49.01960784313725
20250826 plate1 A04,0,57.67,49.2,21.69,0.37610542743194036,0.8531298768857292,37.38,24.307,3.112,6.792626023101045,NA,21.56,diploid,1,36.11,0.983897361586525,3.112,37.38,27.142857142857142
20250826 plate1 B04,0,54.03,48.3,20.95,0.3877475476587081,0.8939478067740144,36.909,26.646,3.017,7.414985871577515,NA,23.01,diploid,1,31.02,0.8536105438086998,3.017,36.909,23.57142857142857
20250826 plate1 C04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.73,diploid,0,NA,NA,0,0,NA
20250826 plate1 D04,0,55.23,54.74,31.04,0.5620133985152996,0.9911280101394171,49.63,32.384,3.447,7.161080830337468,NA,24.18,diploid,1,31.049999999999997,0.8259804387264496,3.447,49.63,19.28571428571429
