index_id,scale,feature,adjustment,absorbed_duplicates,completeness
raw_rfu|baseline_value|none,raw_rfu,baseline_value,none,raw_rfu|trough_value,1
raw_rfu|final_value|none,raw_rfu,final_value,none,NA,1
raw_rfu|peak_value|none,raw_rfu,peak_value,none,NA,1
raw_rfu|time_to_peak|none,raw_rfu,time_to_peak,none,raw_delta|time_to_peak; fc_corr|time_to_peak; fc_corr_mm|time_to_peak; raw_delta_mm|time_to_peak,1
raw_rfu|auc_total|none,raw_rfu,auc_total,none,NA,1
raw_rfu|auc_early|none,raw_rfu,auc_early,none,NA,1
raw_rfu|auc_late|none,raw_rfu,auc_late,none,NA,1
raw_rfu|delta_auc_late_minus_early|none,raw_rfu,delta_auc_late_minus_early,none,raw_delta|delta_auc_late_minus_early,1
raw_rfu|late_early_auc_ratio|none,raw_rfu,late_early_auc_ratio,none,NA,1
raw_rfu|initial_slope|none,raw_rfu,initial_slope,none,raw_rfu|rate_h1; raw_delta|initial_slope; raw_delta|rate_h1; raw_delta|value_1h,1
raw_rfu|vmax|none,raw_rfu,vmax,none,raw_delta|vmax,1
raw_rfu|time_to_vmax|none,raw_rfu,time_to_vmax,none,raw_delta|time_to_vmax; fc_corr|time_to_vmax; fc_corr_mm|time_to_vmax; raw_delta_mm|time_to_vmax,1
raw_rfu|min_slope|none,raw_rfu,min_slope,none,raw_delta|min_slope,1
raw_rfu|time_to_min_slope|none,raw_rfu,time_to_min_slope,none,raw_delta|time_to_min_slope; fc_corr|time_to_min_slope; fc_corr_mm|time_to_min_slope; raw_delta_mm|time_to_min_slope,1
raw_rfu|inflection_time|none,raw_rfu,inflection_time,none,raw_delta|inflection_time; fc_corr|inflection_time; fc_corr_mm|inflection_time; raw_delta_mm|inflection_time,1
raw_rfu|metabolic_scope|none,raw_rfu,metabolic_scope,none,raw_delta|peak_value; raw_delta|metabolic_scope,1
raw_rfu|final_delta|none,raw_rfu,final_delta,none,raw_delta|final_value; raw_delta|final_delta,1
raw_rfu|depression_abs|none,raw_rfu,depression_abs,none,raw_delta|depression_abs,1
raw_rfu|metabolic_depression_index|none,raw_rfu,metabolic_depression_index,none,raw_delta|metabolic_depression_index; raw_delta_mm|metabolic_depression_index,1
raw_rfu|resilience_ratio|none,raw_rfu,resilience_ratio,none,NA,1
raw_rfu|stability_cv|none,raw_rfu,stability_cv,none,NA,1
raw_rfu|rate_h2|none,raw_rfu,rate_h2,none,raw_delta|rate_h2,1
raw_rfu|rate_h3|none,raw_rfu,rate_h3,none,raw_delta|rate_h3,1
raw_rfu|rate_h4|none,raw_rfu,rate_h4,none,raw_rfu|rate_last; raw_delta|rate_h4; raw_delta|rate_last,1
raw_rfu|rate_last_first_ratio|none,raw_rfu,rate_last_first_ratio,none,raw_delta|rate_last_first_ratio; raw_delta_mm|rate_last_first_ratio,1
raw_rfu|rate_cv|none,raw_rfu,rate_cv,none,raw_delta|rate_cv; raw_delta_mm|rate_cv,1
raw_rfu|n_negative_intervals|none,raw_rfu,n_negative_intervals,none,raw_delta|n_negative_intervals; fc_corr|n_negative_intervals; fc_corr_mm|n_negative_intervals; raw_delta_mm|n_negative_intervals,1
raw_rfu|max_drop|none,raw_rfu,max_drop,none,raw_delta|max_drop,1
raw_rfu|lin_slope|none,raw_rfu,lin_slope,none,raw_delta|lin_slope,1
raw_rfu|lin_r2|none,raw_rfu,lin_r2,none,raw_delta|lin_r2; raw_delta_mm|lin_r2,1
raw_rfu|quad_coef|none,raw_rfu,quad_coef,none,raw_delta|quad_coef,1
raw_rfu|mean_rate|none,raw_rfu,mean_rate,none,raw_delta|mean_rate,1
raw_rfu|sat_asymptote|none,raw_rfu,sat_asymptote,none,raw_delta|sat_asymptote,0.975609756097561
raw_rfu|sat_k|none,raw_rfu,sat_k,none,raw_delta|sat_k,0.975609756097561
raw_rfu|sat_r2|none,raw_rfu,sat_r2,none,raw_delta|sat_r2; raw_delta_mm|sat_r2,0.975609756097561
raw_rfu|t_half|none,raw_rfu,t_half,none,raw_delta|t_half; raw_delta_mm|t_half,1
raw_rfu|value_1h|none,raw_rfu,value_1h,none,NA,1
raw_rfu|value_2h|none,raw_rfu,value_2h,none,NA,1
raw_rfu|value_3h|none,raw_rfu,value_3h,none,NA,1
raw_rfu|value_4h|none,raw_rfu,value_4h,none,NA,1
raw_rfu|auc_0_1h|none,raw_rfu,auc_0_1h,none,NA,1
raw_rfu|auc_0_2h|none,raw_rfu,auc_0_2h,none,NA,1
raw_rfu|auc_0_3h|none,raw_rfu,auc_0_3h,none,NA,1
raw_rfu|frac_auc_first_half|none,raw_rfu,frac_auc_first_half,none,NA,1
raw_delta|auc_total|none,raw_delta,auc_total,none,NA,1
raw_delta|auc_early|none,raw_delta,auc_early,none,NA,1
raw_delta|auc_late|none,raw_delta,auc_late,none,NA,1
raw_delta|late_early_auc_ratio|none,raw_delta,late_early_auc_ratio,none,raw_delta_mm|late_early_auc_ratio,1
raw_delta|resilience_ratio|none,raw_delta,resilience_ratio,none,raw_delta_mm|resilience_ratio,1
raw_delta|stability_cv|none,raw_delta,stability_cv,none,raw_delta_mm|stability_cv,1
raw_delta|value_2h|none,raw_delta,value_2h,none,NA,1
raw_delta|value_3h|none,raw_delta,value_3h,none,NA,1
raw_delta|value_4h|none,raw_delta,value_4h,none,NA,1
raw_delta|auc_0_1h|none,raw_delta,auc_0_1h,none,NA,1
raw_delta|auc_0_2h|none,raw_delta,auc_0_2h,none,NA,1
raw_delta|auc_0_3h|none,raw_delta,auc_0_3h,none,NA,1
raw_delta|frac_auc_first_half|none,raw_delta,frac_auc_first_half,none,raw_delta_mm|frac_auc_first_half,1
fc_corr|final_value|none,fc_corr,final_value,none,fc_corr|final_delta,1
fc_corr|peak_value|none,fc_corr,peak_value,none,fc_corr|metabolic_scope,1
fc_corr|auc_total|none,fc_corr,auc_total,none,NA,1
