pc,stratum,var_expl_pct,auc_survival,p_survival,rho_growth,rho_CI,rho_yield
PC1,pooled_adj,61.8,0.45577728504557774,0.4373030725553793,-0.06583183796141387,0.008467580709651623,-0.07332100718634078
PC1,diploid,61.8,0.30985915492957744,0.06541720135910198,0.07253521126760562,0.1771294433266264,-0.048334801840540516
PC1,triploid,61.8,0.5112179487179487,0.8800868033006382,-0.1874839921454794,-0.2027661572611628,-0.08662216098718192
PC2,pooled_adj,14.2,0.49765952204976593,0.9688467435354291,-0.011814648035394809,-0.03365750474003947,-0.020574537460878718
PC2,diploid,14.2,0.5665101721439749,0.5224915598952142,-0.05788061703554661,-0.19151576123407107,-0.01020414404301632
PC2,triploid,14.2,0.46794871794871795,0.6589214304919964,0.08571672500640314,0.23085460599334073,-0.0032504146361450564
PC3,pooled_adj,13,0.4685883222468588,0.5815611406299458,-0.027069860878040235,0.035966258657827196,-0.01005700414786546
PC3,diploid,13,0.350547730829421,0.14803434980306066,-0.04614352783366867,0.05103957075788061,-0.06219836305760407
PC3,triploid,13,0.5176282051282052,0.8101308658017121,-0.01400153675403398,-0.017928797063092288,0.021086023152428184
PC4,pooled_adj,5.5,0.4745011086474501,0.6549040618852553,0.07414465527452736,-0.021617159587777792,-0.03876226342100869
PC4,diploid,5.5,0.4616588419405321,0.714787481222023,0.033232729711602946,-0.1680080482897384,-0.21292647236427387
PC4,triploid,5.5,0.48717948717948717,0.8624873967462799,0.11030478955007256,0.1300264663194741,0.10145738676240809
