phenotype,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
high-salinity,corrected_fc,auc_early,12,27,1.1232742975833367,1.1954240973309183,0.23005947479659034,0.8003594277277541,1.4579943680912058
high-salinity,corrected_fc,auc_early,14,27,2.4663374163700738,1.173804444100548,0.2258987705924768,2.4777697198963686,1.5643710216741904
high-salinity,corrected_fc,auc_early,15,26,1.6873014795303747,1.137997618466374,0.223179694730083,1.53696382200022,1.5118842858524157
high-salinity,corrected_fc,auc_early,16,23,2.113937288953013,1.735093025354944,0.36179190551640333,1.2084194442830523,1.7728639244924118
high-salinity,corrected_fc,auc_early,19,27,2.4787572612463165,1.168656429256469,0.22490803467380305,2.2939582363922724,1.4142969707129476
high-salinity,corrected_fc,auc_early,2,27,1.4736619421901764,1.3755687010654392,0.26472831994965174,1.0721773885298704,1.3164203055134567
high-salinity,corrected_fc,auc_early,20,24,1.8146458618841241,1.4398510044178927,0.29390835553814043,1.5252222433768026,1.8541919639625413
high-salinity,corrected_fc,auc_early,21,26,2.7189730135041397,1.489335275413873,0.29208267813913164,2.2966213567693696,1.9224488199750842
high-salinity,corrected_fc,auc_early,24,25,3.3278420788729552,1.8276883530190815,0.3655376706038163,3.703944135913517,2.5823192701065505
high-salinity,corrected_fc,auc_early,25,27,1.6172913740216748,1.1441666229682055,0.2201949692561595,1.1869737586699771,1.4498383827466457
high-salinity,corrected_fc,auc_early,26,25,2.3464020893678996,2.1372159312020456,0.4274431862404091,1.4371256923320064,2.3517095411289386
high-salinity,corrected_fc,auc_early,31,25,1.871049328601159,1.5878076746254268,0.3175615349250854,1.605328656676587,1.6246191811064263
high-salinity,corrected_fc,auc_early,32,24,2.713977287847854,1.6197226963245457,0.3306245109000073,2.373698318510772,2.111689248945849
high-salinity,corrected_fc,auc_early,33,28,1.3234343000105557,1.1962047491186403,0.22606144880588086,0.8526980578279126,1.792535236941815
high-salinity,corrected_fc,auc_early,34,22,1.63427172289537,1.1315951816348184,0.24125690334910038,1.5116446767750633,0.7332747324521582
high-salinity,corrected_fc,auc_early,36,26,3.308916581300284,1.5070274352839457,0.2955523961550972,3.7354931442806776,2.779567116420426
high-salinity,corrected_fc,auc_early,37,28,2.9558732635992935,1.6380361491558721,0.3095597349428816,3.3383378075346637,2.951812893893039
high-salinity,corrected_fc,auc_early,38,25,1.776866693702999,1.7260426478520705,0.3452085295704141,1.429615274066056,2.4380701456873184
high-salinity,corrected_fc,auc_early,39,24,2.186969530937932,1.2695394782776663,0.25914366084162094,1.6587302710478071,2.1487611970175067
high-salinity,corrected_fc,auc_early,41,26,2.3616999837746055,1.2238632969402536,0.24001933973339826,2.2406344690987092,1.697579073393102
high-salinity,corrected_fc,auc_early,42,23,3.16618636761218,2.708078770230243,0.5646734579949628,2.794316276415556,3.937262002139411
high-salinity,corrected_fc,auc_early,43,28,1.6484733737234574,1.3569087599754233,0.2564316521928574,1.4069682503713858,2.331309264784114
high-salinity,corrected_fc,auc_early,5,25,2.7371414961861027,1.592605849375683,0.31852116987513657,2.6486898173982003,1.499277133972972
high-salinity,corrected_fc,auc_early,6,26,1.874142496859867,1.5354302426736266,0.3011226449674357,1.532939887873158,1.7645544438027998
high-salinity,corrected_fc,auc_early,7,24,2.020891503642412,1.6296893498293068,0.3326589455274895,1.9179488668390055,1.586077861090388
high-salinity,corrected_fc,auc_late,12,27,3.166005078439354,2.8782467703940937,0.553918849227067,2.632246283030848,3.669245876745891
high-salinity,corrected_fc,auc_late,14,27,8.123460375004518,3.0809594356940986,0.592930919853435,7.762912798678977,4.102706032093246
high-salinity,corrected_fc,auc_late,15,26,4.530092780531809,3.060583272271405,0.6002297626264443,4.176542214010977,2.803645552210055
high-salinity,corrected_fc,auc_late,16,23,8.150752265746478,4.74605131328513,0.9896201086744592,6.6417604732339,6.524288779637905
high-salinity,corrected_fc,auc_late,19,27,6.050692958181816,2.2754381142114855,0.4379082692547785,5.9529203261241195,3.7293288664918496
high-salinity,corrected_fc,auc_late,2,27,4.231907422169938,3.286711255051865,0.6325278759509223,3.09554921318461,3.772916563263336
high-salinity,corrected_fc,auc_late,20,24,5.636405573246029,3.7631965147400566,0.7681592719110979,4.666677047145209,4.191346463473125
high-salinity,corrected_fc,auc_late,21,26,6.977952318593116,3.1335713425818943,0.6145439008869316,6.7651623735488435,3.6850954893379804
high-salinity,corrected_fc,auc_late,24,25,7.028291910249334,3.6907138467050755,0.7381427693410151,7.286462014121924,4.253719362474058
high-salinity,corrected_fc,auc_late,25,27,6.419831322177656,4.187123684097092,0.8058123287145711,5.078496222484962,5.02264911712647
high-salinity,corrected_fc,auc_late,26,25,6.530343804378886,3.4521245090221684,0.6904249018044337,5.622548214155023,5.342543153348063
high-salinity,corrected_fc,auc_late,31,25,5.504689591079068,4.531199334966283,0.9062398669932566,4.743582935736136,6.551522128026347
high-salinity,corrected_fc,auc_late,32,24,7.355149845406646,3.59134437994473,0.7330801017897192,6.647894812537743,5.177644384350467
high-salinity,corrected_fc,auc_late,33,28,5.413048969417449,4.31582895222844,0.8156150077634937,4.64959531327894,6.132413505601983
high-salinity,corrected_fc,auc_late,34,22,4.4393722188255484,2.6386055136718176,0.5625525856946949,3.94483780709513,2.327691476832614
high-salinity,corrected_fc,auc_late,36,26,6.9432894807373655,2.5954918031032648,0.5090178212074489,6.030005850190406,3.272392092564793
high-salinity,corrected_fc,auc_late,37,28,5.671534685231971,2.3873282894611316,0.4511626394130982,5.516732963962017,3.4897658303576815
high-salinity,corrected_fc,auc_late,38,25,5.541908898061523,4.441960104274476,0.8883920208548952,5.542172084320669,7.925929599580075
high-salinity,corrected_fc,auc_late,39,24,4.921622160984474,2.21098576623969,0.4513155796536439,4.38520095909064,2.297793796099362
high-salinity,corrected_fc,auc_late,41,26,5.886408731485838,2.5867834531989238,0.5073099732807785,5.368354337179329,3.7667551143828426
high-salinity,corrected_fc,auc_late,42,23,6.0689905480035815,4.101524920957887,0.8552270656340238,5.938492636447522,5.596139655636224
high-salinity,corrected_fc,auc_late,43,28,3.7775810343965412,3.183957794415404,0.6017114649249198,3.3958107196922973,3.1656485533129404
high-salinity,corrected_fc,auc_late,5,25,7.193767738498294,2.8441774322313855,0.5688354864462771,7.257185717654217,4.438785142956406
high-salinity,corrected_fc,auc_late,6,26,4.510998342509174,3.070902582474273,0.6022535458607229,4.04645403810243,3.8139598439284157
high-salinity,corrected_fc,auc_late,7,24,5.428610215579531,2.967421552520335,0.6057223879510246,4.855072858216187,3.3240655732557807
high-salinity,corrected_fc,auc_total,12,27,4.28927937602269,3.8763235220452277,0.7459988096396302,3.352597618031004,5.84506260201875
high-salinity,corrected_fc,auc_total,14,27,10.589797791374592,3.588371045313328,0.6905823296546363,10.950500638756639,4.810961548523901
high-salinity,corrected_fc,auc_total,15,26,6.217394260062183,3.936457854631345,0.7720029005846469,5.814544649986917,4.0295410534377565
high-salinity,corrected_fc,auc_total,16,23,10.26468955469949,5.9464250822099904,1.239915341751309,9.396917997398061,8.873793364313302
